id_ponto,data_coleta,nome_praia,zona,status,latitude,longitude,numero_boletim,link_boletim,data_extracao,periodo_validade
17C,2025-06-14,17C - P. do Meireles - Na altura da rua José Vilar. Próximo ao Posto Guarda-vidas 06.,Centro,Própria para banho,-3.723770264275438,-38.500652437528771,202506131-BOL,,2025-09-26 21:40:42,09/06/2025 a 15/06/2025
18C,2025-06-14,18C - P. do Meireles - Na altura da av. Rui Barbosa. No Aterro.,Centro,Própria para banho,-3.722008145836255,-38.506400412463691,202506131-BOL,,2025-09-26 21:40:42,09/06/2025 a 15/06/2025
19C,2025-06-14,19C - P. de Iracema - Na altura da Estátua de Iracema Guardiã. No Aterrinho.,Centro,Própria para banho,-3.720513556755591,-3.509559393753140,202506131-BOL,,2025-09-26 21:40:42,09/06/2025 a 15/06/2025
20C,2025-06-14,20C - P. de Iracema - Na altura da av. Almirante Tamandaré. Próximo à Ponte Metálica.,Centro,Própria para banho,-3.718312698817215,-38.516945446493949,202506131-BOL,,2025-09-26 21:40:42,09/06/2025 a 15/06/2025
69C,2025-06-14,69C - P. de Iracema - Praia dos Crush. Na altura do Centro Cultural Belchior,Centro,Própria para banho,-3.719045468989302,-38.513323200251037,202506131-BOL,,2025-09-26 21:40:42,09/06/2025 a 15/06/2025
22O,2025-06-14,22O - P. da Leste Oeste - Próximo à Igreja de Santa Edwiges.,Oeste,Imprópria para banho,-3.718587076916991,-38.532442957545371,202506131-BOL,,2025-09-26 21:40:42,09/06/2025 a 15/06/2025
23O,2025-06-14,23O - P. do Pirambu - Praia da Leste. Na altura da av. Filomeno Gomes.,Oeste,Própria para banho,-3.714860245850673,-38.541686222664360,202506131-BOL,,2025-09-26 21:40:42,09/06/2025 a 15/06/2025
24O,2025-06-14,24O - P. do Pirambu - Praia da Formosa. Na altura do Posto de Saúde Guiomar Arruda.,Oeste,Imprópria para banho,-3.712705669921016,-38.545494996531083,202506131-BOL,,2025-09-26 21:40:42,09/06/2025 a 15/06/2025
25O,2025-06-14,"25O - P. da Colônia - Ao final da av. Pasteur. Próximo à Estação Elevatória Arpoador, da Cagece.",Oeste,Própria para banho,-3.706240032737122,-38.557255382629620,202506131-BOL,,2025-09-26 21:40:42,09/06/2025 a 15/06/2025
26O,2025-06-14,26O - P. da Colônia - Praia do “L”. Na altura da rua Dr. Theberge.,Oeste,Imprópria para banho,-3.704859295987508,-38.561761077396483,202506131-BOL,,2025-09-26 21:40:42,09/06/2025 a 15/06/2025
27O,2025-06-14,27O - P. Barra do Ceará - Praia do Coqueirinho. Próximo ao Projeto 4 varas (Horta).,Oeste,Imprópria para banho,-3.700401355313574,-38.572977048110047,202506131-BOL,,2025-09-26 21:40:42,09/06/2025 a 15/06/2025
28O,2025-06-14,28O - P. Barra do Ceará - Praia das Goiabeiras. Na altura da rua Coqueiro Verde.,Oeste,Imprópria para banho,-3.696839900843839,-38.577738165363264,202506131-BOL,,2025-09-26 21:40:42,09/06/2025 a 15/06/2025
29O,2025-06-14,29O - P. Barra do Ceará - Na altura da rua Bom Jesus.,Oeste,Imprópria para banho,-3.694996062399960,-38.579964125958966,202506131-BOL,,2025-09-26 21:40:42,09/06/2025 a 15/06/2025
30O,2025-06-14,30O - P. Barra do Ceará - Praia da Barra do Ceará. Na altura da rua Rita das Goiabeiras.,Oeste,Imprópria para banho,-3.693798305915436,-38.583768441562917,202506131-BOL,,2025-09-26 21:40:42,09/06/2025 a 15/06/2025
31O,2025-06-14,31O - P. Barra do Ceará - Foz do Rio Ceará.,Oeste,Imprópria para banho,-3.693298323975561,-38.587612465404753,202506131-BOL,,2025-09-26 21:40:42,09/06/2025 a 15/06/2025
01L,2025-06-15,01L - P. do Futuro - Praia do Caça e Pesca. Na altura da rua Germiniano Jurema.,Leste,Imprópria para banho,-3.767517773426549,-38.437172029819394,202506131-BOL,,2025-09-26 21:40:42,09/06/2025 a 15/06/2025
02L,2025-06-15,02L - P. do Futuro - Na altura da Capela de Santa Terezinha. Próximo ao Posto Guarda-vidas 09.,Leste,Imprópria para banho,-3.763421533179216,-38.440898900120587,202506131-BOL,,2025-09-26 21:40:42,09/06/2025 a 15/06/2025
03L,2025-06-15,03L - P. do Futuro - Na altura da rua Embratel. Próximo ao Posto Guarda-vidas 08.,Leste,Imprópria para banho,-3.757768840705624,-38.442830156576221,202506131-BOL,,2025-09-26 21:40:42,09/06/2025 a 15/06/2025
04L,2025-06-15,04L - P. do Futuro - Na altura da rua Francisco Montenegro. Próximo ao Posto Guarda-vidas 06.,Leste,Imprópria para banho,-3.750144255544279,-38.446370233280781,202506131-BOL,,2025-09-26 21:40:42,09/06/2025 a 15/06/2025
05L,2025-06-15,05L - P. do Futuro - Na altura da rua Antônio Atualpa Rodrigues.,Leste,Própria para banho,-3.748805400122561,-38.448693671284843,202506131-BOL,,2025-09-26 21:40:42,09/06/2025 a 15/06/2025
06L,2025-06-15,06L - P. do Futuro - Na altura da av. Carlos Jereissati.,Leste,Própria para banho,-3.742084156563407,-38.450920361712313,202506131-BOL,,2025-09-26 21:40:42,09/06/2025 a 15/06/2025
07L,2025-06-15,07L - P. do Futuro - Na altura da rua Gerôncio Brígido Neto. Próximo ao Posto Guarda-vidas 01.,Leste,Própria para banho,-3.731763642183909,-38.455476231333350,202506131-BOL,,2025-09-26 21:40:42,09/06/2025 a 15/06/2025
08L,2025-06-15,08L - P. do Futuro - Na altura da rua Clóvis Mota. Em frente ao Clube dos Oficiais da Polícia e Bombeiro Militares.,Leste,Própria para banho,-3.726758421506166,-38.459595018019087,202506131-BOL,,2025-09-26 21:40:42,09/06/2025 a 15/06/2025
09L,2025-06-15,09L - P. do Futuro - Na altura da Areninha Praia do Futuro I.,Leste,Imprópria para banho,-3.723629635438067,-38.461065804445433,202506131-BOL,,2025-09-26 21:40:42,09/06/2025 a 15/06/2025
10L,2025-06-15,10L - P. do Futuro - Na altura da rua Ismael Pordeus.,Leste,Imprópria para banho,-3.722031222648116,-38.460422537877882,202506131-BOL,,2025-09-26 21:40:42,09/06/2025 a 15/06/2025
11L,2025-06-15,11L - P. do Titanzinho - Praia do Titanzinho.,Leste,Imprópria para banho,-3.708932607161285,-38.467585417938153,202506131-BOL,,2025-09-26 21:40:42,09/06/2025 a 15/06/2025
32L,2025-06-15,32L - P. da Abreulândia - Na altura da rua Teófilo Ramos.,Leste,Própria para banho,-3.810832980833612,-38.409797699829554,202506131-BOL,,2025-09-26 21:40:42,09/06/2025 a 15/06/2025
67L,2025-06-15,67L - P. da Sabiaguaba - Na altura da rua Sabiaguaba.,Leste,Própria para banho,-3.772047500273451,-38.435537087518952,202506131-BOL,,2025-09-26 21:40:42,09/06/2025 a 15/06/2025
12C,2025-06-15,12C - P. do Mucuripe - Porto dos Botes. Na altura da rua Interna.,Centro,Imprópria para banho,-3.718369118780574,-38.476209055165100,202506131-BOL,,2025-09-26 21:40:42,09/06/2025 a 15/06/2025
13C,2025-06-15,13C - P. do Mucuripe - Ao lado do Mercado dos Peixes do Mucuripe.,Centro,Imprópria para banho,-3.721216563471682,-38.480011417612182,202506131-BOL,,2025-09-26 21:40:42,09/06/2025 a 15/06/2025
14C,2025-06-15,14C - P. do Mucuripe - Na altura da Estátua Iracema do Mucuripe.,Centro,Imprópria para banho,-3.722966892545418,-38.484330503826456,202506131-BOL,,2025-09-26 21:40:42,09/06/2025 a 15/06/2025
15C,2025-06-15,15C - P. do Mucuripe - Na altura do Jardim Japonês e da Arena Beira Mar.,Centro,Imprópria para banho,-3.724866889672225,-38.490853358061294,202506131-BOL,,2025-09-26 21:40:42,09/06/2025 a 15/06/2025
16C,2025-06-15,16C - P. do Meireles - Na altura da av. Desembargador Moreira. Próximo à Feirinha da Beira Mar.,Centro,Própria para banho,-3.725162985179957,-38.496677409630628,202506131-BOL,,2025-09-26 21:40:42,09/06/2025 a 15/06/2025
17C,2025-06-15,17C - P. do Meireles - Na altura da rua José Vilar. Próximo ao Posto Guarda-vidas 06.,Centro,Própria para banho,-3.723770264275438,-38.500652437528771,202506131-BOL,,2025-09-26 21:40:42,09/06/2025 a 15/06/2025
18C,2025-06-15,18C - P. do Meireles - Na altura da av. Rui Barbosa. No Aterro.,Centro,Própria para banho,-3.722008145836255,-38.506400412463691,202506131-BOL,,2025-09-26 21:40:42,09/06/2025 a 15/06/2025
19C,2025-06-15,19C - P. de Iracema - Na altura da Estátua de Iracema Guardiã. No Aterrinho.,Centro,Própria para banho,-3.720513556755591,-3.509559393753140,202506131-BOL,,2025-09-26 21:40:42,09/06/2025 a 15/06/2025
20C,2025-06-15,20C - P. de Iracema - Na altura da av. Almirante Tamandaré. Próximo à Ponte Metálica.,Centro,Própria para banho,-3.718312698817215,-38.516945446493949,202506131-BOL,,2025-09-26 21:40:42,09/06/2025 a 15/06/2025
69C,2025-06-15,69C - P. de Iracema - Praia dos Crush. Na altura do Centro Cultural Belchior,Centro,Própria para banho,-3.719045468989302,-38.513323200251037,202506131-BOL,,2025-09-26 21:40:42,09/06/2025 a 15/06/2025
22O,2025-06-15,22O - P. da Leste Oeste - Próximo à Igreja de Santa Edwiges.,Oeste,Imprópria para banho,-3.718587076916991,-38.532442957545371,202506131-BOL,,2025-09-26 21:40:42,09/06/2025 a 15/06/2025
23O,2025-06-15,23O - P. do Pirambu - Praia da Leste. Na altura da av. Filomeno Gomes.,Oeste,Própria para banho,-3.714860245850673,-38.541686222664360,202506131-BOL,,2025-09-26 21:40:42,09/06/2025 a 15/06/2025
24O,2025-06-15,24O - P. do Pirambu - Praia da Formosa. Na altura do Posto de Saúde Guiomar Arruda.,Oeste,Imprópria para banho,-3.712705669921016,-38.545494996531083,202506131-BOL,,2025-09-26 21:40:42,09/06/2025 a 15/06/2025
25O,2025-06-15,"25O - P. da Colônia - Ao final da av. Pasteur. Próximo à Estação Elevatória Arpoador, da Cagece.",Oeste,Própria para banho,-3.706240032737122,-38.557255382629620,202506131-BOL,,2025-09-26 21:40:42,09/06/2025 a 15/06/2025
26O,2025-06-15,26O - P. da Colônia - Praia do “L”. Na altura da rua Dr. Theberge.,Oeste,Imprópria para banho,-3.704859295987508,-38.561761077396483,202506131-BOL,,2025-09-26 21:40:42,09/06/2025 a 15/06/2025
27O,2025-06-15,27O - P. Barra do Ceará - Praia do Coqueirinho. Próximo ao Projeto 4 varas (Horta).,Oeste,Imprópria para banho,-3.700401355313574,-38.572977048110047,202506131-BOL,,2025-09-26 21:40:42,09/06/2025 a 15/06/2025
28O,2025-06-15,28O - P. Barra do Ceará - Praia das Goiabeiras. Na altura da rua Coqueiro Verde.,Oeste,Imprópria para banho,-3.696839900843839,-38.577738165363264,202506131-BOL,,2025-09-26 21:40:42,09/06/2025 a 15/06/2025
29O,2025-06-15,29O - P. Barra do Ceará - Na altura da rua Bom Jesus.,Oeste,Imprópria para banho,-3.694996062399960,-38.579964125958966,202506131-BOL,,2025-09-26 21:40:42,09/06/2025 a 15/06/2025
30O,2025-06-15,30O - P. Barra do Ceará - Praia da Barra do Ceará. Na altura da rua Rita das Goiabeiras.,Oeste,Imprópria para banho,-3.693798305915436,-38.583768441562917,202506131-BOL,,2025-09-26 21:40:42,09/06/2025 a 15/06/2025
31O,2025-06-15,31O - P. Barra do Ceará - Foz do Rio Ceará.,Oeste,Imprópria para banho,-3.693298323975561,-38.587612465404753,202506131-BOL,,2025-09-26 21:40:42,09/06/2025 a 15/06/2025
01L,2025-06-16,01L - P. do Futuro - Praia do Caça e Pesca. Na altura da rua Germiniano Jurema.,Leste,Imprópria para banho,-3.767517773426549,-38.437172029819394,202506181-BOL,,2025-09-26 21:40:42,16/06/2025 a 22/06/2025
02L,2025-06-16,02L - P. do Futuro - Na altura da Capela de Santa Terezinha. Próximo ao Posto Guarda-vidas 09.,Leste,Imprópria para banho,-3.763421533179216,-38.440898900120587,202506181-BOL,,2025-09-26 21:40:42,16/06/2025 a 22/06/2025
03L,2025-06-16,03L - P. do Futuro - Na altura da rua Embratel. Próximo ao Posto Guarda-vidas 08.,Leste,Própria para banho,-3.757768840705624,-38.442830156576221,202506181-BOL,,2025-09-26 21:40:42,16/06/2025 a 22/06/2025
04L,2025-06-16,04L - P. do Futuro - Na altura da rua Francisco Montenegro. Próximo ao Posto Guarda-vidas 06.,Leste,Imprópria para banho,-3.750144255544279,-38.446370233280781,202506181-BOL,,2025-09-26 21:40:42,16/06/2025 a 22/06/2025
05L,2025-06-16,05L - P. do Futuro - Na altura da rua Antônio Atualpa Rodrigues.,Leste,Própria para banho,-3.748805400122561,-38.448693671284843,202506181-BOL,,2025-09-26 21:40:42,16/06/2025 a 22/06/2025
06L,2025-06-16,06L - P. do Futuro - Na altura da av. Carlos Jereissati.,Leste,Própria para banho,-3.742084156563407,-38.450920361712313,202506181-BOL,,2025-09-26 21:40:42,16/06/2025 a 22/06/2025
07L,2025-06-16,07L - P. do Futuro - Na altura da rua Gerôncio Brígido Neto. Próximo ao Posto Guarda-vidas 01.,Leste,Própria para banho,-3.731763642183909,-38.455476231333350,202506181-BOL,,2025-09-26 21:40:42,16/06/2025 a 22/06/2025
08L,2025-06-16,08L - P. do Futuro - Na altura da rua Clóvis Mota. Em frente ao Clube dos Oficiais da Polícia e Bombeiro Militares.,Leste,Própria para banho,-3.726758421506166,-38.459595018019087,202506181-BOL,,2025-09-26 21:40:42,16/06/2025 a 22/06/2025
09L,2025-06-16,09L - P. do Futuro - Na altura da Areninha Praia do Futuro I.,Leste,Própria para banho,-3.723629635438067,-38.461065804445433,202506181-BOL,,2025-09-26 21:40:42,16/06/2025 a 22/06/2025
10L,2025-06-16,10L - P. do Futuro - Na altura da rua Ismael Pordeus.,Leste,Imprópria para banho,-3.722031222648116,-38.460422537877882,202506181-BOL,,2025-09-26 21:40:42,16/06/2025 a 22/06/2025
11L,2025-06-16,11L - P. do Titanzinho - Praia do Titanzinho.,Leste,Imprópria para banho,-3.708932607161285,-38.467585417938153,202506181-BOL,,2025-09-26 21:40:42,16/06/2025 a 22/06/2025
32L,2025-06-16,32L - P. da Abreulândia - Na altura da rua Teófilo Ramos.,Leste,Própria para banho,-3.810832980833612,-38.409797699829554,202506181-BOL,,2025-09-26 21:40:42,16/06/2025 a 22/06/2025
67L,2025-06-16,67L - P. da Sabiaguaba - Na altura da rua Sabiaguaba.,Leste,Própria para banho,-3.772047500273451,-38.435537087518952,202506181-BOL,,2025-09-26 21:40:42,16/06/2025 a 22/06/2025
12C,2025-06-16,12C - P. do Mucuripe - Porto dos Botes. Na altura da rua Interna.,Centro,Imprópria para banho,-3.718369118780574,-38.476209055165100,202506181-BOL,,2025-09-26 21:40:42,16/06/2025 a 22/06/2025
13C,2025-06-16,13C - P. do Mucuripe - Ao lado do Mercado dos Peixes do Mucuripe.,Centro,Imprópria para banho,-3.721216563471682,-38.480011417612182,202506181-BOL,,2025-09-26 21:40:42,16/06/2025 a 22/06/2025
14C,2025-06-16,14C - P. do Mucuripe - Na altura da Estátua Iracema do Mucuripe.,Centro,Imprópria para banho,-3.722966892545418,-38.484330503826456,202506181-BOL,,2025-09-26 21:40:42,16/06/2025 a 22/06/2025
15C,2025-06-16,15C - P. do Mucuripe - Na altura do Jardim Japonês e da Arena Beira Mar.,Centro,Própria para banho,-3.724866889672225,-38.490853358061294,202506181-BOL,,2025-09-26 21:40:42,16/06/2025 a 22/06/2025
16C,2025-06-16,16C - P. do Meireles - Na altura da av. Desembargador Moreira. Próximo à Feirinha da Beira Mar.,Centro,Própria para banho,-3.725162985179957,-38.496677409630628,202506181-BOL,,2025-09-26 21:40:42,16/06/2025 a 22/06/2025
17C,2025-06-16,17C - P. do Meireles - Na altura da rua José Vilar. Próximo ao Posto Guarda-vidas 06.,Centro,Própria para banho,-3.723770264275438,-38.500652437528771,202506181-BOL,,2025-09-26 21:40:42,16/06/2025 a 22/06/2025
18C,2025-06-16,18C - P. do Meireles - Na altura da av. Rui Barbosa. No Aterro.,Centro,Própria para banho,-3.722008145836255,-38.506400412463691,202506181-BOL,,2025-09-26 21:40:42,16/06/2025 a 22/06/2025
